Посилання,Рік
Сертифікат про акредитацію освітньої програми,
Відомості про самооцінювання освітньої програми,
Освітньо-професійна програма 2023,
Освітньо-професійна програма та навчальний план 2017,
Освітньо-професійна програма та навчальний план 2019,
Освітньо-професійна програма та навчальний план 2021,
Рецензії від партнерів,
Силабус обов’язковi дисциплiни,
1 семестр,
126 Cилабус Алгоритмізація та програмування,
126 Силабус Основи інформаційних систем та технологій,
2 семестр,
126 Силабус Операційні системи,
126 Силабус Теорія ймовірності та математична статистика,
126 Cилабус Алгоритми та структури даних,
3 семестр,
126 Cилабус Бази даних,
126 Cилабус Дискретна математика,
126 Силабус Об’єктно-орієнтоване програмування,
126 Cилабус Комп’ютерні Мережi,
4 семестр,
126 Cилабус Аналітика бізнес-систем,
126 Силабус Чисельні Методи,
126 Cилабус Основи Веб Розробки,
5 семестр,
126 Cилабус Дослідження операцій,
126 Cилабус Розподілені Обчислення,
6 семестр,
126 Cилабус Архітектура та проектування програмного забезпечення,
126 Силабус Якість та тестування ПЗ,
126 Cилабус Основи кібербезпеки,
7 семестр,
126 Силабус Грін комп’ютінг,
126 Силабус Математичне Моделювання та Аналіз Систем,
126 Силабус Методи обчислювального інтелекту та інтелектуальний аналіз,
126 Силабус Теорія Прийняття Рішень,
8 семестр,
126 Силабус Основи Інтернету Речей,
126 Силабус Основи управління ІТ-інфраструктурою,
126 Силабус Основи управління проектами програмного забезпечення та старапами,
126 Силабус Основи управління якістю,
Силабус вибiрковi дисциплiни,
Дисципліни вільного вибору студента профільної підготовки згідно переліку,
3 семестр,
126 Силабус Ймовірносні Моделі,
5 семестр,
126 Силабус Нечітка Логіка та Нечіткі Системи,
6 семестр,
126 Силабус Maсhine Learning,
126 Силабус Моделі Представлення Знань,
7 семестр,
126 Силабус Планування Експерименту,
126 Силабус Технології Моделювання Інтелектуальних Систем,
Профільований пакет дисциплін 01 «Research and Development»,
126 Cилабус Основи Програмування Java,
3 семестр,
126 Cилабус Основи Програмування Python,
126 Силабус Іноземна Мова для Професійного Спілкування,
4 семестр,
126 Cилабус Поглиблений Курс Програмування Python,
126 Силабус Поглиблений Курс Програмування Java,
5 семестр,
126 Силабус Web-Додатки на Основі Java,
126 Силабус Фреймворки Python,
Профільований пакет дисциплін 02 «Software Development and Startup»,
126 Cилабус Бізнес-Аналітика Стартапу,
126 Cилабус Бізнес-Моделі Стартапу,
3 семестр,
126 Силабус Інтернет Маркетинг,
6 семестр,
126 Силабус Основи Бізнес-Планування,
7 семестр,
126 Силабус Основи Підприємництва,
126 Силабус Основи Прототиппування,
Профільований пакет дисциплін 03 «Innovation Сampus»,
126 Силабус Проектний Практикум,
3 семестр,
126 Силабус Розробка Корпоративних Інформаційних Систем,
5 семестр,
126 Силабус Бази Даних для Корпоративних Інформаційних Систем,
6 семестр,
126 Силабус Архітектура Корпоративних Інформаційних Систем,
7 семестр,
126 Силабус Формування та Розвиток Команд ІТ-Проекту,
Освітні компоненти «Програмне забезпечення інформаційних систем» 2019,
Робоча программа навчальної дисципліни «Програмне забезпечення інформаційних систем» 2021,
Програма візиту експертної групи 126,
